0.862448979	1/2
2.688956916	1/2
4.532244897	1/2
6.302040816	1/2
8.115056689	1/2
9.926553287	1/2
11.755578231	1/2
13.605623582	1/2
15.407188208	1/2
17.189319727	1/2
19.067868480	1/2
20.832653061	1/2
22.661224489	1/2
24.500725623	1/2
26.305918367	1/2
28.063197278	1/2
29.949682539	1/4
30.840272108	1/4
31.741995464	1/4
32.645714285	1/4
33.600000000	1/4
34.480589569	1/4
35.395918367	1/4
36.283310657	1/4
37.212834467	1/4
38.107301587	1/4
38.987755102	1/4
39.981111111	1/4
40.838004535	1/4
41.758140589	1/4
42.677551020	1/4
43.576031746	1/4
44.476689342	1/4
45.393446712	1/4
46.360680272	1/4
47.211360544	1/4
48.163265306	1/4
48.989523809	1/4
49.926530612	1/4
50.878049886	1/4
51.752176870	1/4
52.710612244	1/4
53.559886621	1/4
54.497959183	1/4
55.380839002	1/4
56.286802721	1/4
57.175510204	1/4
58.146485260	1/8
58.565668934	1/8
59.010634920	1/4
59.895328798	1/4
60.812448979	1/4
61.716190476	1/4
62.682448979	1/4
63.563605442	1/4
64.530657596	1/8
64.967641723	1/8
65.371428571	1/8
65.828571428	1/8
66.285714285	1/8
66.723514739	1/8
67.180408163	1/8
67.689795918	1/8
68.128730158	1/8
68.604036281	1/8
69.008752834	1/8
69.466643990	1/8
69.922517006	1/8
70.382380952	1/8
70.842539682	1/8
71.269206349	1/8
71.706122448	1/8
72.207959183	1/8
72.671156462	1/8
73.142857142	1/8
73.613786848	1/8
74.123061224	1/8
74.567120181	1/8
74.974671201	1/8
75.428571428	1/8
75.880680272	1/8
76.337074829	1/8
76.780725623	1/8
77.224761904	1/8
77.685714285	1/8
78.129750566	1/8
78.628571428	1/8
79.085714285	1/8
79.542857142	1/8
80.000000000	1/8
80.431428571	1/8
80.866213151	1/8
81.346961451	1/8
81.853469387	1/8
82.261292517	1/8
82.706167800	1/8
83.161156462	1/8
83.605532879	1/8
84.040068027	1/8
84.482154195	1/8
84.960861678	1/8
85.427687074	1/8
85.871315192	1/8
86.316122448	1/8
86.781587301	1/8
87.257142857	1/8
87.771428571	1/8
88.261224489	1/4
89.208163265	1/4
90.111655328	1/4
90.968639455	1/4
91.886916099	1/4
92.819251700	1/4
93.736485260	1/4
94.611383219	1/4
95.531632653	1/4
96.465963718	1/4
97.379750566	1/4
98.250340136	1/4
99.175034013	1/4
100.067573696	1/4
100.984671201	1/4
101.882743764	1/4
102.810725623	1/4
103.714716553	1/4
104.617029478	1/4
105.505963718	1/4
106.427528344	1/4
107.329206349	1/4
108.221360544	1/4
109.161428571	1/4
110.086848072	1/4
110.993197278	1/4
111.914149659	1/4
112.799841269	1/4
113.706394557	1/4
114.605578231	1/4
115.507278911	1/4
116.452018140	1/4
117.435555555	1/4
118.285555555	1/4
119.176190476	1/4
120.145056689	1/4
120.988571428	1/4
121.946009070	1/4
122.835986394	1/4
123.722970521	1/4
124.607029478	1/4
125.524489795	1/4
126.436712018	1/4
127.379591836	1/4
128.261224489	3/8
129.658004535	1/8
130.161768707	1/4
130.947437641	1/8
131.450453514	1/8
131.888934240	1/4
132.865306122	1/4
133.746938775	1/4
134.637596371	1/4
135.524308390	1/4
136.467891156	1/4
137.436734693	1/4
138.294013605	1/4
139.171247165	1/4
140.070113378	1/4
140.938639455	1/4
141.942857142	1/4
142.922448979	1/4
143.877097505	1/4
144.823038548	1/4
145.898344671	1/4
147.265306122	1/2
