1.896870748	1.1
2.484535147	3
3.036734693	4
3.520204081	2
4.147664399	3
4.736099773	4
5.242653061	2
5.792312925	3
6.358934240	2
6.924489795	1
7.471723356	2
8.036712018	3
9.705351473	1.2
10.280249433	4
11.929818594	1.3
12.497165532	1.4
13.610975056	3
13.908752834	4
14.164172335	3
14.419591836	2
14.708321995	2.2
15.299977324	2.3
15.829478458	3
16.370068027	2
16.949501133	1
18.546938775	2.4
19.134693877	3.1
19.690521541	3
19.969160997	3
20.269410430	4
20.526439909	4
21.322448979	3.2
21.939092970	3
22.198276643	3
22.502789115	4
23.054467120	5
23.605623582	4
24.174399092	3
24.757777777	2-
25.798208616	12-
26.901768707	2
27.472448979	3
28.047981859	4
28.581814058	2
29.171632653	3
29.701972789	4
30.272222222	2
30.824489795	3.3
31.422290249	3
31.664761904	4
31.925759637	3
32.182244897	2
33.012244897	3.4
33.567346938	4.1
34.122448979	4.2
34.677551020	4.3
35.265306122	3
35.881451247	2-
37.477006802	2
38.073038548	4-
39.744807256	5
40.288503401	3-
41.935238095	4
42.492517006	5-
43.583854875	3-
44.701746031	2
45.244852607	3
45.812970521	4
46.373968253	2
46.950748299	3
47.515827664	4
48.065306122	2
48.637755102	3
49.220929705	2
49.737505668	3
50.300816326	4
50.854512471	5
51.413786848	4
51.966258503	3
52.525487528	2
53.598276643	2
54.165351473	3
54.717891156	4
55.304557823	2
55.820770975	3
56.390340136	4
56.974376417	2
57.526485260	3
58.069705215	4
58.607165532	5
59.141224489	4
59.721723356	3
60.255782312	2
62.484897959	3
63.878095238	4
64.156734693	3
64.429727891	2
64.714013605	3
66.126371882	3
66.385850340	2
66.629795918	1
66.965578231	2
71.384036281	135
72.492698412	25-
73.607256235	14-
74.721814058	45
75.836371882	3-
77.470612244	2
78.074217687	1
78.622766439	2
79.171700680	3
79.721519274	4
81.289274376	25-
82.543990929	14-
83.615056689	5
84.172335600	4
84.722857142	4
86.401451247	3
86.981950113	2-
89.175510204	4.4
89.706598639	5.1
90.579591836	5.2
90.841746031	5.3
91.106643990	5.4
91.385691609	6.1
91.962403628	1.1
94.185646258	6.3
94.749954648	6.4
95.314875283	7.1
95.882494331	7.2
98.057142857	7.3
98.668594104	1.2
99.461224489	7.4
99.744784580	8.1
99.977845804	8.2
100.281678004	8.3
100.842244897	1.3
102.465306122	8.4
103.084149659	9.1
103.626122448	9.2
104.170000000	9.3
104.714013605	9.4
107.493877551	10.2
108.046507936	10.3
109.746938775	11.1
110.269387755	10.4
111.369727891	11.2
111.640816326	11.3
111.902040816	11.4
112.195918367	12.1
115.265306122	2.1
115.803219954	2.2
116.407142857	2.3
116.963265306	2.4
117.544308390	3.1
118.105238095	3.2
118.649115646	3.3
119.198707482	3.4
119.706122448	4.1
120.261224489	4.2
121.933718820	4.3
122.510362811	4.4
124.702040816	5.1
125.289795918	5.2
125.850657596	5.3
126.405238095	5.4
126.948707482	6.1
127.469297052	6.2
128.066825396	6.3
128.602358276	6.4
129.150907029	7.1
129.752086167	7.2
130.323197278	7.3
130.863854875	7.4
131.431247165	8.1
131.973900226	8.2
132.546734693	8.3
133.701269841	8.4
134.166621315	9.1
134.713786848	9.2
135.267414965	9.3
135.820975056	9.4
136.391746031	10.1
136.955351473	10.2
137.498662131	10.3
138.088730158	10.4
138.631700680	11.1
139.171224489	11.2
139.743265306	11.3
140.307777777	11.4
142.553514739	12.1
143.608163265	12.2
144.691564625	12.3
145.803469387	12.4
146.971428571	13.1
148.598730158	13.2
149.139092970	13.3
149.667165532	13.4
150.243061224	14.1
150.812244897	14.2
152.560204081	14.3
153.628616780	14.4
154.714761904	15.1
155.271451247	15.2
155.827142857	15.3
157.491768707	15.4
158.066689342	16.1
160.274852607	16.2
160.827142857	16.3
161.730612244	16.4
162.008594104	17.1
162.257052154	17.2
162.522403628	17.3
163.069387755	17.4
165.283990929	18.1
165.845782312	18.2
166.411269841	18.3
166.995170068	18.4
169.199092970	19.1
169.730612244	19.2
170.612244897	19.3
170.886984126	19.4
171.112358276	20.1
171.402970521	20.2
171.951020408	20.3
173.668934240	20.4
174.203492063	21.1
174.759183673	21.2
175.281632653	21.3
175.836734693	21.4
178.644897959	22.1
179.200000000	22.2
180.862721088	22.3
181.420408163	22.4
181.958117913	24.1
182.530612244	23.1
182.791836734	23.2
183.118367346	23.3
183.375895691	23.4
186.399047619	24.2
186.960249433	24.3
187.526530612	24.4
188.081632653	25.1
188.636734693	25.2
189.180204081	25.3
189.736326530	25.4
190.317664399	26.1
190.919523809	26.2
191.468594104	26.3
192.521723356	26.4
193.068526077	27.1
193.674013605	27.2
194.728117913	27.3
195.859909297	27.4
196.375895691	28.1
196.940453514	28.2
197.484149659	28.3
198.065895691	28.4
198.597596371	29.1
199.171405895	29.2
199.695623582	29.3
200.293628117	29.4
200.848730158	30.1
201.425510204	30.2
201.988662131	30.3
202.563219954	30.4
203.076621315	31.1
203.667210884	31.2
204.741700680	31.3
205.310816326	31.4
205.867346938	32.1
206.420090702	32.2
206.971247165	32.3
207.550204081	32.4
208.081950113	33.1
208.649251700	33.2
209.203219954	33.3
209.756462585	33.4
210.320385487	34.1
210.873469387	34.2
211.461224489	34.3
213.648979591	34.4
214.759229024	35.1
